O2- + N2 -> e + N2 + O2,c1*(Tg/300)**c2*exp(-c3/Tg),1.9e-12 0.5 4990.0,cm
O2- + O2 -> e + O2 + O2,c1*(Tg/300)**c2*exp(-c3/Tg),2.7e-10 0.5 5590.0,cm
O2- + O2(a) -> e + 2O2,c1,2e-10,cm
O2- + O(3P) -> e + O3,c1,3e-10,cm
O2- + H -> e + HO2,c1,1.2e-09,cm
O- + O2(a) -> e + O3,c1,3e-10,cm
O- + O(3P) -> e + O2,c1,2e-10,cm
H- + O2 -> e + HO2,c1,1.2e-09,cm
H- + H -> e + H2,c1,2e-09,cm
OH- + O(3P) -> e + HO2,c1,2e-10,cm
OH- + H -> e + H2O,c1,1.4e-09,cm
e + N2+ -> N(4S) + N(4S),c1*(300/Te)**c2,1.8e-07 0.39,cm
e + N2+ -> N2,c1,4e-12,cm
e + N4+ -> N2 + N2,c1*(300/Te)**c2,2e-06 0.5,cm
e + O2+ -> O(3P) + O(3P),c1*(300/Te)**c2,2e-07 0.7,cm
e + O2+ -> O2,c1,4e-12,cm
e + O4+ -> O2 + O2,c1*(300/Te)**c2,1.4e-06 0.5,cm
e + N2O2+ -> N2 + O2,c1*(300/Te)**c2,1.3e-06 0.5,cm
e + H2O+ -> OH + H,c1,3.8e-07,cm
e + H2O+ -> H2 + O(3P),c1,1.4e-07,cm
e + H2O+ -> 2H + O(3P),c1,1.7e-07,cm
e + H3O+(H2O)3 -> H + 4H2O,c1*(300/Te)**c2,5.5e-07 0.78,cm
N2+ + O- -> N2 + O(3P),c1,4e-07,cm
N2+ + O2- -> N2 + O2,c1,1.6e-07,cm
O2+ + O- -> O2 + O(3P),c1,9.6e-08,cm
O2+ + O2- -> O2 + O2,c1,4.2e-07,cm
O2+ + O2- + O2 -> 2O(3P) + 2O2,c1*(300/Tg)**c2,2e-25 2.5,cm
O4+ + O2- + O2 -> 2O(3P) + 3O2,c1*(300/Tg)**c2,2e-25 2.5,cm
H2O+ + O- -> H2O + O(3P),c1,4e-06,cm
H2O+ + O2- -> H2O + O2,c1,4e-06,cm
N2+ + N2 + M -> N4+ + M,c1*(300/Tg)**c2,5.2e-29 2.2,cm
O2+ + N2 + N2 -> N2O2+ + N2,c1*(300/Tg)**c2,9e-31 2.0,cm
O2+ + O2 + M -> O4+ + M,c1*(300/Tg)**c2,2.4e-30 3.2,cm
O2+ + H2O + M -> O2+(H2O) + M,c1*(300/Tg)**c2,2.6e-28 4.0,cm
N4+ + N2 -> N2+ + 2N2,10**(c1+c2*(Tg-300)),-14.6 0.0036,cm
N4+ + O2 -> O2+ + 2N2,c1,2.5e-10,cm
O4+ + N2 -> N2O2+ + O2,c1*(Tg/300)**c2*exp(-c3/Tg),4.6e-12 2.5 2650.0,cm
O4+ + O2 -> O2+ + 2O2,c1*(300/Tg)**c2*exp(-c3/Tg),3.3e-06 4.0 5030.0,cm
O4+ + O2(a) -> O2+ + 2O2,c1,1e-10,cm
O4+ + O2(b) -> O2+ + 2O2,c1,1e-10,cm
O4+ + O(3P) -> O2+ + O3,c1,3e-10,cm
O4+ + O(1D) -> O2+ + O3,c1,3e-10,cm
O4+ + O(1S) -> O2+ + O3,c1,3e-10,cm
O4+ + H2O -> O2+(H2O) + O2,c1,1.7e-09,cm
O2+(H2O) + H2O -> H3O+ + OH + O2,c1,1.3e-09,cm
N2O2+ + N2 -> O2+ + 2N2,c1*(300/Tg)**c2*exp(-c3/Tg),1.1e-06 5.3 2357.0,cm
N2O2+ + O2 -> O4+ + N2,c1,1e-09,cm
H3O+ + H2O + M -> H3O+(H2O) + M,c1*(300/Tg)**c2,3.4e-27 4.0,cm
H3O+(H2O) + H2O + M -> H3O+(H2O)2 + M,c1*(300/Tg)**c2,2.3e-27 4.0,cm
H3O+(H2O)2 + H2O + M -> H3O+(H2O)3 + M,c1*(300/Tg)**c2,2.4e-27 4.0,cm
O2- + H -> OH- + O(3P),c1,1.5e-09,cm
H- + H2O -> OH- + H2,c1,1e-09,cm
