O2- + N2 -> e + N2 + O2,c1*(Tg/300)**c2*exp(-c3/Tg),1.9e-12 0.5 4990.0,cm
O2- + O2 -> e + O2 + O2,c1*(Tg/300)**c2*exp(-c3/Tg),2.7e-10 0.5 5590.0,cm
O2- + O2(a) -> e + 2O2,c1,2e-10,cm
O2- + O(3P) -> e + O3,c1,3e-10,cm
O2- + H -> e + HO2,c1,1.2e-09,cm
O- + O2(a) -> e + O3,c1,3e-10,cm
O- + O(3P) -> e + O2,c1,2e-10,cm
H- + O2 -> e + HO2,c1,1.2e-09,cm
H- + H -> e + H2,c1,2e-09,cm
OH- + O(3P) -> e + HO2,c1,2e-10,cm
OH- + H -> e + H2O,c1,1.4e-09,cm
O2- + H -> OH- + O(3P),c1,1.5e-09,cm
H- + H2O -> OH- + H2,c1,1e-09,cm
N2+ + N2 + M -> N4+ + M,c1*(300/Tg)**c2,5.2e-29 2.2,cm
O2+ + N2 + N2 -> N2O2+ + N2,c1*(300/Tg)**c2,9e-31 2.0,cm
O2+ + O2 + M -> O4+ + M,c1*(300/Tg)**c2,2.4e-30 3.2,cm
O2+ + H2O + M -> H2O3+ + M,c1*(300/Tg)**c2,2.6e-28 4.0,cm
N4+ + N2 -> N2+ + 2N2,10**(c1+c2*(Tg-300)),-14.6 0.0036,cm
N4+ + O2 -> O2+ + 2N2,c1,2.5e-10,cm
O4+ + N2 -> N2O2+ + O2,c1*(Tg/300)**c2*exp(-c3/Tg),4.6e-12 2.5 2650.0,cm
O4+ + O2 -> O2+ + 2O2,c1*(300/Tg)**c2*exp(-c3/Tg),3.3e-06 4.0 5030.0,cm
O4+ + O2(a) -> O2+ + 2O2,c1,1e-10,cm
O4+ + O2(b) -> O2+ + 2O2,c1,1e-10,cm
O4+ + O(3P) -> O2+ + O3,c1,3e-10,cm
O4+ + O(1D) -> O2+ + O3,c1,3e-10,cm
O4+ + O(1S) -> O2+ + O3,c1,3e-10,cm
O4+ + H2O -> H2O3+ + O2,c1,1.7e-09,cm
H2O3+ + H2O -> H3O+ + OH + O2,c1,1.3e-09,cm
N2O2+ + N2 -> O2+ + 2N2,c1*(300/Tg)**c2*exp(-c3/Tg),1.1e-06 5.3 2357.0,cm
N2O2+ + O2 -> O4+ + N2,c1,1e-09,cm
H3O+ + H2O + M -> H5O2+ + M,c1*(300/Tg)**c2,3.4e-27 4.0,cm
H5O2+ + H2O + M -> H7O3+ + M,c1*(300/Tg)**c2,2.3e-27 4.0,cm
H7O3+ + H2O + M -> H9O4+ + M,c1*(300/Tg)**c2,2.4e-27 4.0,cm
e + N2+ -> N(4S) + N(4S),c1*(300/Te)**c2,1.8e-07 0.39,cm
e + N2+ -> N2,c1,4e-12,cm
e + N4+ -> N2 + N2,c1*(300/Te)**c2,2e-06 0.5,cm
e + O2+ -> O(3P) + O(3P),c1*(300/Te)**c2,2e-07 0.7,cm
e + O2+ -> O2,c1,4e-12,cm
e + O4+ -> O2 + O2,c1*(300/Te)**c2,1.4e-06 0.5,cm
e + N2O2+ -> N2 + O2,c1*(300/Te)**c2,1.3e-06 0.5,cm
e + H2O+ -> OH + H,c1,3.8e-07,cm
e + H2O+ -> H2 + O(3P),c1,1.4e-07,cm
e + H2O+ -> 2H + O(3P),c1,1.7e-07,cm
e + H9O4+ -> H + 4H2O,c1*(300/Te)**c2,5.5e-07 0.78,cm
N2+ + O- -> N2 + O(3P),c1,4e-07,cm
N2+ + O2- -> N2 + O2,c1,1.6e-07,cm
O2+ + O- -> O2 + O(3P),c1,9.6e-08,cm
O2+ + O2- -> O2 + O2,c1,4.2e-07,cm
O2+ + O2- + O2 -> 2O(3P) + 2O2,c1*(300/Tg)**c2,2e-25 2.5,cm
O4+ + O2- + O2 -> 2O(3P) + 3O2,c1*(300/Tg)**c2,2e-25 2.5,cm
H2O+ + O- -> H2O + O(3P),c1,4e-07,cm
H2O+ + O2- -> H2O + O2,c1,4e-07,cm
N2(A1) + O2 -> N2 + O2(b),c1,7.5e-13,cm
N2(A1) + O2 -> N2 + 2O(3P),c1,1.7e-12,cm
N2(A1) + O2 -> N2O + O(3P),c1,7.8e-12,cm
N2(A1) + N2(A1) -> N2 + N2(B),c1,7.7e-11,cm
N2(A1) + N2(A1) -> N2 + N2(C),c1,1.6e-10,cm
N2(A1) + N2(A1) -> N2 + N2(E),c1,1e-11,cm
N2(A1) + O(3P) -> N2 + O(3P),c1,2e-11,cm
N2(A1) + O(3P) -> N2 + O(1S),c1,3e-11,cm
N2(A1) + O(3P) -> NO + N(2D),c1,7e-12,cm
N2(A1) + H -> N2 + H,c1,2.1e-10,cm
N2(A1) + OH -> N2 + OH,c1,1e-10,cm
N2(A1) + H2O -> N2 + H + OH,c1,5e-14,cm
N2(A1) + NO -> N2 + NO(A),c1,6.9e-11,cm
N2(A2) + N2 -> N2 + N2(A1),c1,1e-11,cm
N2(A2) + O(3P) -> N2 + O(3P),c1,2e-11,cm
N2(A2) + O(3P) -> NO + N(4S),c1,7e-12,cm
N2(A2) + H -> N2 + H,c1,2.1e-10,cm
N2(A2) + OH -> N2 + OH,c1,1e-10,cm
N2(A2) + H2O -> N2 + H + OH,c1,5e-14,cm
N2(A2) + NO -> N2 + NO(A),c1,6.9e-11,cm
N2(B) + O2 -> N2 + 2O(3P),c1,3e-10,cm
N2(B) + N2 -> N2 + N2(A1),c1,1e-11,cm
N2(B) -> N2(A1),c1,1.5e5
